carNumber,name,team
1,Ross Chastain,Trackhouse Racing
2,Austin Cindric,Team Penske
5,Kyle Larson,Hendrick Motorsports
12,Ryan Blaney,Team Penske
45,Tyler Reddick,23XI Racing
97,Shane van Gisbergen,Trackhouse Racing
